Complexity,Loss,Equation
1,224400.7,"1337.4294"
3,223700.19,"x6 + 1337.2997"
5,101370.13,"(x6 + 3.81302) * 350.74692"
7,49301.62,"(x6 + (x10 + 4.7703357)) * 280.35403"
9,41239.652,"(((x6 + x3) + x10) - -7.0247154) * 190.38223"
11,33538.324,"(((x0 + x1) + (x3 + x6)) - -7.926086) * 168.73293"
13,32826.754,"(((x3 * 0.75212926) + (x6 + x1)) + (x0 - -7.3123684)) * 182.89313"
15,28458.672,"(17.77422 - x14) * ((((x6 + x2) + (x1 + x0)) - -7.0793023) / 0.092797235)"
17,27974.986,"(17.598898 - x14) * ((((x6 + x0) + ((x2 - -6.8909307) + x1)) / 0.08956126) - x4)"
19,26039.283,"((((x1 + x2) + (x6 + (x0 - -7.92374))) / 0.26637372) - ((x12 + x11) * x14)) * 47.159622"
21,25403.883,"(((((x2 + x1) + x0) + (x6 - -7.634742)) / 0.25809494) - ((x12 + x11) * x14)) * (47.72237 - x6)"
23,24782.709,"(((((x0 - -5.609456) + (x2 - -1.8382407)) + (x6 + x1)) / 0.28970182) - (((x9 + x14) * x2) + x12)) * 55.053715"
25,24243.59,"(32.84107 - x6) * ((((x0 - -5.6619663) + (((x6 + x2) + x1) - -1.8965795)) / 0.17385481) - ((x14 + x9) * (x12 + x14)))"
27,23923.867,"(x10 / 0.020280562) + (((((((x6 + x2) + x1) + (x0 - -8.813122)) / 0.22379102) - ((x14 + x9) * (x12 + x2))) * 36.750336) - 21.227873)"
29,23888.299,"(x10 / 0.020280562) + (((((((x0 + x6) + (x2 + x1)) - -8.813122) / 0.22379102) - ((x2 + x12) * (x14 + x9))) * 36.750336) - (21.227873 - x0))"
